"행정구역","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율"
"경상북도 안동시 와룡면(4717031000)","3,974","2,111","          1.88","2,042","1,932","          1.06"
"경상북도 안동시 북후면(4717032000)","2,951","1,730","          1.71","1,541","1,410","          1.09"
"경상북도 안동시 서후면(4717033000)","3,481","1,906","          1.83","1,849","1,632","          1.13"
"경상북도 안동시 풍천면(4717034000)","6,984","4,041","          1.73","3,560","3,424","          1.04"
"경상북도 안동시 일직면(4717035000)","2,671","1,507","          1.77","1,291","1,380","          0.94"
"경상북도 안동시 남후면(4717036000)","1,726","993","          1.74","855","871","          0.98"
"경상북도 안동시 남선면(4717037000)","2,084","1,130","          1.84","1,074","1,010","          1.06"
"경상북도 안동시 임하면(4717038000)","2,800","1,715","          1.63","1,462","1,338","          1.09"
"경상북도 안동시 길안면(4717039000)","2,706","1,628","          1.66","1,366","1,340","          1.02"
"경상북도 안동시 임동면(4717040000)","1,721","1,033","          1.67","889","832","          1.07"
"경상북도 안동시 예안면(4717041000)","1,838","1,068","          1.72","954","884","          1.08"
"경상북도 안동시 도산면(4717042000)","1,596","943","          1.69","834","762","          1.09"
"경상북도 안동시 녹전면(4717043000)","1,721","974","          1.77","896","825","          1.09"
"경상북도 안동시 중구동(4717051000)","5,069","2,888","          1.76","2,467","2,602","          0.95"
"경상북도 안동시 명륜동(4717052000)","4,950","2,458","          2.01","2,379","2,571","          0.93"
"경상북도 안동시 용상동(4717055500)","22,063","10,436","          2.11","10,960","11,103","          0.99"
"경상북도 안동시 서구동(4717058500)","8,997","4,366","          2.06","4,330","4,667","          0.93"
"경상북도 안동시 태화동(4717060000)","13,076","6,503","          2.01","6,513","6,563","          0.99"
"경상북도 안동시 평화동(4717062000)","6,276","2,971","          2.11","3,044","3,232","          0.94"
"경상북도 안동시 안기동(4717063000)","6,182","2,808","          2.20","3,048","3,134","          0.97"
"경상북도 안동시 옥동(4717065000)","21,377","9,529","          2.24","10,157","11,220","          0.91"
"경상북도 안동시 송하동(4717066000)","16,159","7,090","          2.28","7,871","8,288","          0.95"
"경상북도 안동시 강남동(4717069000)","10,546","4,226","          2.50","5,212","5,334","          0.98"
"경상북도 구미시 (4719000000)","413,366","182,595","          2.26","212,427","200,939","          1.06"
"경상북도 구미시 선산읍(4719025000)","14,685","6,762","          2.17","7,264","7,421","          0.98"
"경상북도 구미시 고아읍(4719025300)","38,138","14,870","          2.56","19,292","18,846","          1.02"
"경상북도 구미시 산동읍(4719025600)","26,784","10,398","          2.58","13,978","12,806","          1.09"
"경상북도 구미시 무을면(4719031000)","1,831","1,017","          1.80","912","919","          0.99"
"경상북도 구미시 옥성면(4719032000)","1,681","922","          1.82","865","816","          1.06"
"경상북도 구미시 도개면(4719033000)","2,179","1,152","          1.89","1,119","1,060","          1.06"
"경상북도 구미시 해평면(4719034000)","4,016","2,160","          1.86","2,099","1,917","          1.09"
"경상북도 구미시 장천면(4719036000)","3,050","1,576","          1.94","1,554","1,496","          1.04"
"경상북도 구미시 송정동(4719051000)","24,126","10,791","          2.24","11,875","12,251","          0.97"
"경상북도 구미시 원평동(4719053500)","6,338","4,327","          1.46","3,460","2,878","          1.20"
"경상북도 구미시 도량동(4719055100)","29,226","11,874","          2.46","14,283","14,943","          0.96"
"경상북도 구미시 지산동(4719055500)","2,173","1,073","          2.03","1,127","1,046","          1.08"
"경상북도 구미시 선주원남동(4719056500)","39,001","16,386","          2.38","19,801","19,200","          1.03"
